date,open,high,low,close,volume,sma_20,sma_50,rsi
2025-06-27,139.05,144.85,137.14,142.09,2471847.15,147.615,159.3836,44.48772226926334
2025-06-28,142.09,152.7,141.13,150.72,2657836.682,147.52849999999998,158.9424,54.770872567482755
2025-06-29,150.73,154.77,149.36,153.32,2150026.172,147.1365,158.451,50.301776168304876
2025-06-30,153.32,159.99,149.45,154.81,3871390.335,146.621,158.0834,53.57330071640749
2025-07-01,154.82,155.64,144.85,146.88,2770862.174,145.91649999999998,157.5366,49.443638122883414
2025-07-02,146.87,154.47,145.85,152.27,2652574.279,145.91400000000002,156.907,54.48088257518513
2025-07-03,152.28,156.35,149.86,152.36,2686218.205,146.10200000000003,156.4214,54.05735204392924
2025-07-04,152.35,153.88,145.22,147.7,2308086.736,146.255,155.9922,55.996207931742745
2025-07-05,147.69,148.7,145.9,147.55,1173963.86,145.984,155.59519999999998,60.31313818924439
2025-07-06,147.55,153.89,146.78,151.86,2486859.718,146.041,155.3136,66.97556866048863
2025-07-07,151.86,153.6,147.7,148.88,2174727.723,146.1065,154.8252,54.41146779729458
2025-07-08,148.89,152.88,147.85,151.67,2712869.323,146.373,154.5214,55.647220585346695
2025-07-09,151.68,157.93,150.53,157.05,2907219.748,146.8735,154.29059999999998,62.495365220615504
2025-07-10,157.06,165.43,155.64,164.34,3428382.349,148.08499999999998,154.1068,72.28490832157968
2025-07-11,164.33,168.2,159.54,162.93,4354179.713,149.46,153.7718,68.91107078039926
2025-07-12,162.92,163.9,157.74,160.69,2043211.942,150.909,153.50539999999998,60.23403818517757
2025-07-13,160.7,164.19,159.63,161.15,1929745.851,151.74099999999999,153.211,58.406699592012025
2025-07-14,161.15,168.65,160.61,162.21,3973706.533,152.5555,152.9404,58.01907238838317
2025-07-15,162.21,164.26,157.23,163.98,3665295.753,153.576,152.7218,71.38569284642318
2025-07-16,163.98,176.0,161.51,173.63,5020288.123,155.30450000000002,152.6602,74.1410488245931
2025-07-17,173.62,178.19,168.71,175.87,4491555.727,156.99349999999998,152.7334,75.33951282604006
2025-07-18,175.88,184.67,173.24,177.28,5191853.168,158.32150000000001,152.9448,84.28372739916551
2025-07-19,177.28,178.61,174.0,176.96,2059315.008,159.5035,153.36,83.95289771415375
2025-07-20,176.97,183.66,176.33,181.43,3694854.915,160.8345,153.8596,84.01196227283181
2025-07-21,181.44,199.28,178.25,195.72,6495907.179,163.2765,154.62040000000002,92.75282949981745
2025-07-22,195.72,206.3,193.75,205.7,8635627.173,165.948,155.5978,93.59367435856059
2025-07-23,205.7,205.75,183.97,189.4,5548137.499,167.8,156.28199999999998,72.19097269858692
2025-07-24,189.4,191.87,179.21,182.87,5217064.871,169.5585,156.8742,62.844863441009295
2025-07-25,182.88,186.85,175.63,186.76,4481310.44,171.51899999999998,157.7236,65.96970915426887
2025-07-26,186.75,189.78,184.29,184.88,1773453.875,173.17000000000002,158.4646,66.2895622895623
2025-07-27,184.89,190.7,184.53,188.64,2233060.133,175.158,159.2362,67.72404900064475
